Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Loại hình hoạt động,Qui mô công ty
Chuyên viên Bồi thường Con người - Trung tâm DVKH khu vực Phía Bắc - Khối Giám định bồi thường,['Hà Nội'],09/12/2024,"Bảo hiểm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,Cạnh tranh,1 - 10 Năm,Nhân viên,31/12/2024,TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM QUÂN ĐỘI (MIC),"Tầng 5-6, Tòa nhà MB, số 21 Cát Linh, Đống Đa, Hà Nội",Phòng Đối tác nhân sự,Cổ phần,1.000-4.999
Quản lý kinh doanh dự án - Ngành dầu nhớt - Đông Bắc Bộ,"['Hà Nội', 'Thanh Hóa', 'Hải Phòng']",09/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Dầu khí",Nhân viên chính thức,Trên 50 Tr VND,3 - 5 Năm,Giám đốc,15/12/2024,CÔNG TY TNHH DẦU NHỜN GS VIỆT NAM,"Lô 1-3/68, đường Lưu Hữu Phước, P. Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",HR - Ms Hường,Trách nhiệm hữu hạn,
Quản lý kinh doanh dự án - Ngành dầu nhớt - Miền Trung & Tây nguyên,"['Quảng Trị', 'Đà Nẵng', 'Khánh Hòa']",25/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Dầu khí",Nhân viên chính thức,Trên 50 Tr VND,3 - 5 Năm,Giám đốc,15/12/2024,CÔNG TY TNHH DẦU NHỜN GS VIỆT NAM,"Lô 1-3/68, đường Lưu Hữu Phước, P. Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",HR - Ms Hường,Trách nhiệm hữu hạn,
"Chuyên viên Thanh Tra (mảng MEP, XDDD, QS/QA/QC)",['Hưng Yên'],09/12/2024,Xây dựng,Nhân viên chính thức,Lên đến 40 Tr VND,Lên đến 5 Năm,Trưởng nhóm / Giám sát,25/11/2024,CÔNG TY CỔ PHẦN PHÁT TRIỂN VÀ ĐẦU TƯ XÂY DỰNG VINCONS,"Tầng 10, Tòa nhà TechnoPark Tower, Khu đô thị Gia Lâm, Xã Đa Tốn, Huyện Gia Lâm, TP Hà Nội, Việt Nam",Tuyển dụng VinCons,Cổ phần,1.000-4.999
,[],,,,,,,,,,,,
Sales Logistics,['Hà Nội'],02/12/2024,"Bán hàng / Kinh doanh , Vận chuyển / Giao nhận / Kho vận , Xuất nhập khẩu",Nhân viên chính thức,15 Tr - 25 Tr VND,Trên 1 Năm,Nhân viên,31/12/2024,CÔNG TY CỔ PHẦN TIẾP VẬN INTERCARGO,"Tầng 4, số 6 ngõ 82 Dịch Vọng Hậu, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",Nguyễn Ngọc Chính,Cổ phần,25-99
Nhân viên kho,['Bình Dương'],09/12/2024,"Vận chuyển / Giao nhận / Kho vận , Quản lý điều hành",Nhân viên chính thức,9 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,25/11/2024,CÔNG TY TNHH SẢN XUẤT GREAT LOTUS VIỆT NAM,"Số 3 VSIP II-A đường số 26, Khu công nghiệp Việt Nam-Singapore II-A, Phường Vĩnh Tân, Thành Phố Tân Uyên, Tỉnh Bình Dương, Việt Nam",CÔNG TY TNHH SẢN XUẤT GREAT LOTUS VIỆT NAM,100% vốn nước ngoài,100-499
[C8] Customer Service _ Nhân viên Chăm sóc khách hàng bằng tiếng Anh (Không sale),['Hà Nội'],09/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,12 Tr - 14 Tr VND,,Nhân viên,15/12/2024,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
KẾ TOÁN TỔNG HỢP - CÔNG TY XÂY DỰNG (LÀM VIỆC TẠI BÌNH DƯƠNG),[],,,,,,,,,,,,
Nhân viên Sale Admin,['Hà Nội'],09/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Giáo dục / Đào tạo",Nhân viên chính thức,10 Tr - 12 Tr VND,Trên 3 Năm,Nhân viên,25/11/2024,CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ PANTADO,"Tầng 16 Tòa nhà Intracom, Số 33 Cầu Diễn - Phường Phúc Diễn - Quận Bắc Từ Liêm - Hà Nội.",Tuyển Dụng Pantado,Cổ phần,25-99
Chuyên viên C&B,['Hà Nội'],09/12/2024,Nhân sự,Nhân viên chính thức,10 Tr - 15 Tr VND,Trên 3 Năm,Nhân viên,20/12/2024,CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ PANTADO,"Tầng 16 Tòa nhà Intracom, Số 33 Cầu Diễn - Phường Phúc Diễn - Quận Bắc Từ Liêm - Hà Nội.",Tuyển Dụng Pantado,Cổ phần,25-99
Hành Chính Nhân Sự Tổng Hợp,['Hà Nội'],09/12/2024,"Hành chính / Thư ký , Quản lý điều hành , Nhân sự",Nhân viên chính thức,10 Tr - 12 Tr VND,Trên 3 Năm,Nhân viên,26/11/2024,CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ PANTADO,"Tầng 16 Tòa nhà Intracom, Số 33 Cầu Diễn - Phường Phúc Diễn - Quận Bắc Từ Liêm - Hà Nội.",Tuyển Dụng Pantado,Cổ phần,25-99
Chuyên viên kinh doanh,['Hà Nội'],09/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,31/12/2024,TỔNG CÔNG TY CHUYỂN PHÁT NHANH BƯU ĐIỆN,"Tầng 4, tòa nhà FLC Landmark Tower, Ngõ 5 Lê Đức Thọ, Mỹ Đình 2, Nam Từ Liêm",Bộ phận Tuyển dụng EMS,Cổ phần,1.000-4.999
Nhân viên an toàn môi trường và an toàn PCCC,['Hưng Yên'],09/12/2024,"Quản lý điều hành , Môi trường , An toàn lao động",Nhân viên chính thức,10 Tr - 15 Tr VND,2 - 5 Năm,Nhân viên,22/02/2025,CÔNG TY TNHH YURA CORPORATION VINA,"Thôn Mộc Ty, Xã Trưng Trắc, Huyện Văn Lâm, Tỉnh Hưng Yên.",HR,Trách nhiệm hữu hạn,1.000-4.999
NHÂN VIÊN KINH DOANH BAO BÌ NHỰA,['Long An'],09/12/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,15 Tr - 25 Tr VND,1 - 5 Năm,Nhân viên,22/12/2024,CÔNG TY CỔ PHẦN ECOPACK PRINT,"Lô F6, Đường số 6, Khu công nghiệp Hòa Bình, Xã Nhị Thành, Huyện Thủ Thừa, Tỉnh Long An, Việt Nam",HR,Cổ phần,25-99
Nhân viên kinh doanh khối văn phòng cho thuê,['Đà Nẵng'],09/12/2024,"Bán hàng / Kinh doanh , Bất động sản",Nhân viên chính thức,8 Tr - 10 Tr VND,5 - 7 Năm,Nhân viên,27/12/2024,CÔNG TY CỔ PHẦN ĐỨC MẠNH,Tầng 14 tòa nhà Vĩnh Trung- 255-257 Hùng Vương - Đà Nẵng,Ms Ngọc Yến,Cổ phần,100-499
Giáo Viên Mỹ Thuật thỉnh giảng (Buôn Ma Thuột - Đắk Lắk),['Dak Lak'],09/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,8 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,24/12/2024,CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,Cổ phần,500-999
Giáo viên Tin Học/Robotics (Buôn Ma Thuột - Đắk Lắk) - Đi làm sau Tết,['Dak Lak'],09/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,8 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,24/12/2024,CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,Cổ phần,500-999
Nhân viên HSE,['Long An'],09/12/2024,"An Ninh / Bảo Vệ , Môi trường , An toàn lao động",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,25/12/2024,CÔNG TY TNHH KHÁNH PHONG PLASTICS,"KCN Hải Sơn Đức Hòa Hạ, Đức Hòa, Long An hoặc 284/1 Hòa Bình, phường Hiệp Tân, quận Tân Phú",Phòng Nhân Sự,Trách nhiệm hữu hạn,100-499
NHÂN VIÊN BẢO TRÌ ĐIỆN,['Long An'],09/12/2024,"Điện / Điện tử / Điện lạnh , Bảo trì / Sửa chữa , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,12 Tr - 15 Tr VND,2 - 3 Năm,Nhân viên,25/12/2024,CÔNG TY TNHH KHÁNH PHONG PLASTICS,"KCN Hải Sơn Đức Hòa Hạ, Đức Hòa, Long An hoặc 284/1 Hòa Bình, phường Hiệp Tân, quận Tân Phú",Phòng Nhân Sự,Trách nhiệm hữu hạn,100-499
Giáo Viên Toán (Buôn Ma Thuột - Đắk Lắk) - Đi làm sau Tết,['Dak Lak'],09/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,8 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,24/12/2024,CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,Cổ phần,500-999
[IVY GLOBAL SCHOOL] TƯ VẤN TUYỂN SINH - KHỐI TRƯỜNG HỌC B2B,[],,,,,,,,,,,,
Nhân viên điều phối vận tải,['Long An'],09/12/2024,Vận chuyển / Giao nhận / Kho vận,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,16/12/2024,CÔNG TY TNHH LA VIE,"5th Floor, E.Town Central Building, 11 Doan Van Bo, Ward 12, District 4",HR Dept,,100-499
Content Marketing,['Hà Nội'],09/12/2024,"Tiếp thị / Marketing , Hành chính / Thư ký , Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,8 Tr - 12 Tr VND,Trên 1 Năm,Nhân viên,25/12/2024,HỆ THỐNG VƯỜN TÙNG TOÀN JP,"Tầng 4, Số 690, Đường Lạc Long Quân, Phường Nhật Tân, Quận Tây Hồ, Thành phố Hà Nội, Việt Nam",HCNS,Trách nhiệm hữu hạn,100-499
Nhân Viên Media,['Hà Nội'],09/12/2024,"Tiếp thị / Marketing , Quảng cáo / Đối ngoại / Truyền Thông , Truyền hình / Báo chí / Biên tập",Nhân viên chính thức,15 Tr - 20 Tr VND,,Nhân viên,25/12/2024,HỆ THỐNG VƯỜN TÙNG TOÀN JP,"Tầng 4, Số 690, Đường Lạc Long Quân, Phường Nhật Tân, Quận Tây Hồ, Thành phố Hà Nội, Việt Nam",HCNS,Trách nhiệm hữu hạn,100-499
Content Marketing Specialist,['Hà Nội'],02/12/2024,"Tiếp thị / Marketing , CNTT - Phần mềm",Nhân viên chính thức,16 Tr - 20 Tr VND,2 - 5 Năm,Nhân viên,31/12/2024,BSS GROUP,"tầng 14, 16, 18 & 19, Viwaseen Tower, số 48 Tố Hữu, Nam Từ Liêm, Hà Nội",Ms.Ánh,Cổ phần,100-499
International B2B Business Development,['Hà Nội'],09/12/2024,"Bán hàng / Kinh doanh , Xuất nhập khẩu",Nhân viên chính thức,25 Tr - 35 Tr VND,3 - 5 Năm,Nhân viên,15/12/2024,CÔNG TY CỔ PHẦN LYCHEE,"Tầng 8, Tòa Nhà Sao Mai, Số 19 Lê Văn Lương, Nhân Chính, Thanh Xuân",Lychee Corp,Cá nhân,100-499
Quản Đốc Nhà Máy,['Hải Phòng'],09/12/2024,"Quản lý điều hành , Sản xuất / Vận hành sản xuất , Quản lý chất lượng (QA/QC)",Nhân viên chính thức,25 Tr - 30 Tr VND,Trên 3 Năm,Quản lý,25/12/2024,EUP GROUP,"Số A66, khu đấu giá QSDĐ 3ha, Phúc Diễn, Bắc Từ Liêm, HN",EuP HR Team,Cổ phần,1.000-4.999
QC/QA Engineer,['Đồng Nai'],02/12/2024,"Xây dựng , Quản lý chất lượng (QA/QC) , Cơ khí / Ô tô / Tự động hóa",Nhân viên chính thức,18 Tr - 32 Tr VND,1 - 3 Năm,Nhân viên,25/12/2024,ATAD STEEL STRUCTURE CORPORATION,"số 99 Nguyễn Thị Minh Khai, Phường Bến Thành, Quận 1, HCM",Tuyển Dụng ATAD,Cổ phần,1.000-4.999
CVC/CVCC Xây Dựng Mô Hình Rủi Ro Thanh Khoản - Hà Nội - TA107,['Hà Nội'],09/12/2024,"Ngân hàng , Kế toán / Kiểm toán , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,25/12/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
Trưởng Nhóm Tư Vấn Tuyển Sinh (Buôn Ma Thuột - Đắk Lắk) - Đi làm sau Tết,['Dak Lak'],09/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,9 Tr - 14 Tr VND,2 - 3 Năm,Trưởng nhóm / Giám sát,24/12/2024,CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,Cổ phần,500-999
Product Risk Management Senior - Hà Nội - TA107,['Hà Nội'],09/12/2024,"Chứng khoán , Ngân hàng , Hành chính / Thư ký",Nhân viên chính thức,Cạnh tranh,3 - 4 Năm,Nhân viên,25/12/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
Warehouse supervisor,['Long An'],02/12/2024,Vận chuyển / Giao nhận / Kho vận,Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,16/12/2024,CÔNG TY TNHH LA VIE,"5th Floor, E.Town Central Building, 11 Doan Van Bo, Ward 12, District 4",HR Dept,,100-499
Chuyên viên Quan hệ khách hàng cá nhân - Chi nhánh Huế,['Thừa Thiên- Huế'],09/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Ngân hàng",Nhân viên chính thức,9 Tr - 22 Tr VND,Lên đến 1 Năm,Nhân viên,31/12/2024,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN NAM Á (NAM A BANK),"201-203 Cách Mạng Tháng Tám, Phường 4, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Tuyển Dụng,Cổ phần,1.000-4.999
Chuyên Viên Hỗ Trợ Thu Hồi Nợ (Truy dấu Phương Tiện Vận Tải) - Hà Nội - TA107,['Hà Nội'],09/12/2024,"Bán hàng / Kinh doanh , Luật / Pháp lý , Ngân hàng",Nhân viên chính thức,Cạnh tranh,,Nhân viên,20/12/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
[A1.1] Customer Service - Nhân Viên Chăm Sóc Khách Hàng Tiếng Anh Đối Tác Mạng Viễn Thông Hoa Kỳ HTH (Không Yêu Cầu Chứng Chỉ - Ca đêm),['Hà Nội'],09/12/2024,"Dịch vụ khách hàng , Luật / Pháp lý , Mới tốt nghiệp / Thực tập",Nhân viên chính thức,14 Tr - 16 Tr VND,,Nhân viên,06/12/2024,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
Manufacturing Engineer Supervisor,['Bình Dương'],02/12/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,"1,000 - 1,200 USD",5 - 10 Năm,Trưởng nhóm / Giám sát,31/12/2024,CÔNG TY TNHH DP SYSTEMS ELECTRONIC MECHANICAL TECHNOLOGY VIỆT NAM,"Số 2 VSIP II-A, Đường 11, Khu công nghiệp Việt Nam - Singapore II-A, Xã Vĩnh Tân, Thành phố Tân Uyên, Tỉnh Bình Dương, Việt Nam.",HR,Trách nhiệm hữu hạn,
"[Vị Thanh - Hậu Giang] Nhân Viên Nhập Liệu Ca Hành Chính (08:00 - 17:50, T2-T6)",['Hậu Giang'],09/12/2024,"Dịch vụ khách hàng , Biên phiên dịch , Ngành khác",Nhân viên chính thức,"5,1 Tr - 5,1 Tr VND",,Nhân viên,25/12/2024,DIGI-TEXX VIETNAM,"2nd Floor, Anna Building, Quang Trung Software City, Dist. 12",Ms. Huyền,Trách nhiệm hữu hạn,1.000-4.999
Chuyên Viên Kinh Doanh Quốc Tế Kênh B2C/B2B,['Hà Nội'],09/12/2024,"Bán hàng / Kinh doanh , Xuất nhập khẩu",Nhân viên chính thức,15 Tr - 25 Tr VND,1 - 2 Năm,Nhân viên,08/12/2024,CÔNG TY CỔ PHẦN LYCHEE,"Tầng 8, Tòa Nhà Sao Mai, Số 19 Lê Văn Lương, Nhân Chính, Thanh Xuân",Lychee Corp,Cá nhân,100-499
Vũng Tàu - Chuyên viên Kinh doanh - Chuyển phát nhanh,['Bà Rịa - Vũng Tàu'],09/12/2024,"Bưu chính viễn thông , Vận chuyển / Giao nhận / Kho vận , Bán hàng / Kinh doanh",Nhân viên chính thức,10 Tr - 20 Tr VND,2 - 3 Năm,Nhân viên,14/12/2024,NHẤT TÍN LOGISTICS,"18A Cộng Hòa, Phường 12, Quận Tân Bình",Mr. Phạm Văn Hương,Cổ phần,1.000-4.999
Chuyên Viên Xử Lý Nợ Tố Tụng KHCN - Hòa Bình - Thái Bình - Vĩnh Phúc - TA107,"['Vĩnh Phúc', 'Hòa Bình']",02/12/2024,"Bán hàng / Kinh doanh , Luật / Pháp lý , Bất động sản",Nhân viên chính thức,Cạnh tranh,,Nhân viên,31/12/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,Cổ phần,10.000-19.999
Khối trưởng Tiếng Anh mầm non (Long Khánh - Đồng Nai) - Đi làm sau Tết,['Đồng Nai'],09/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,8 Tr - 12 Tr VND,1 - 2 Năm,Trưởng nhóm / Giám sát,24/12/2024,CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,Cổ phần,500-999
Đồng Nai - Chuyên viên Kinh doanh - Chuyển phát nhanh,['Đồng Nai'],09/12/2024,"Bưu chính viễn thông , Vận chuyển / Giao nhận / Kho vận , Bán hàng / Kinh doanh",Nhân viên chính thức,10 Tr - 20 Tr VND,1 - 3 Năm,Nhân viên,14/12/2024,NHẤT TÍN LOGISTICS,"18A Cộng Hòa, Phường 12, Quận Tân Bình",Mr. Phạm Văn Hương,Cổ phần,1.000-4.999
Giáo viên Mầm non (Long Khánh - Đồng Nai) - Đi làm sau Tết,['Đồng Nai'],09/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,8 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,24/12/2024,CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,Cổ phần,500-999
NHÂN VIÊN VĂN PHÒNG/ALES ADMIN,['Hà Nội'],09/12/2024,"Bán hàng / Kinh doanh , Cơ khí / Ô tô / Tự động hóa , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 10 Tr VND,Trên 2 Năm,Nhân viên,15/12/2024,CÔNG TY CỔ PHẦN Ô TÔ KCV THĂNG LONG,"Km 6, đường Bắc Thăng Long- Nội Bài, Xã Nam Hồng, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",HR,Cổ phần,100-499
CỐ VẤN DỊCH VỤ SỬA CHỮA Ô TÔ,"['Hà Nội', 'Hải Phòng']",09/12/2024,"Quản lý điều hành , Cơ khí / Ô tô / Tự động hóa , Bảo trì / Sửa chữa",Nhân viên chính thức,8 Tr - 17 Tr VND,Trên 1 Năm,Nhân viên,15/12/2024,CÔNG TY CỔ PHẦN Ô TÔ KCV THĂNG LONG,"Km 6, đường Bắc Thăng Long- Nội Bài, Xã Nam Hồng, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",HR,Cổ phần,100-499
Chuyên Viên Thiết kế sáng tạo,['Hà Nội'],09/12/2024,"Tư vấn , Mỹ thuật / Nghệ thuật / Thiết kế , Giáo dục / Đào tạo",Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,25/12/2024,CÔNG TY CỔ PHẦN CỔNG TÀI NĂNG,"Tầng 21, Tòa nhà Capital Tower, Số 109 Trần Hưng Đạo, Phường Cửa Nam, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",Hoàng Nguyễn,Cổ phần,100-499
KỸ THUẬT VIÊN,"['Hà Nội', 'Hải Phòng']",09/12/2024,"Quản lý điều hành , Cơ khí / Ô tô / Tự động hóa , Bảo trì / Sửa chữa",Nhân viên chính thức,8 Tr - 17 Tr VND,Trên 1 Năm,Nhân viên,15/12/2024,CÔNG TY CỔ PHẦN Ô TÔ KCV THĂNG LONG,"Km 6, đường Bắc Thăng Long- Nội Bài, Xã Nam Hồng, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",HR,Cổ phần,100-499
Giáo Viên Tiếng Hoa (Long Khánh - Đồng Nai) - Đi làm sau Tết,['Đồng Nai'],09/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,8 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,24/12/2024,CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,Cổ phần,500-999
TRƯỞNG PHÒNG DỊCH VỤ HẬU MÃI (Ô TÔ),['Hà Nội'],09/12/2024,"Bán hàng / Kinh doanh , Quản lý điều hành , Cơ khí / Ô tô / Tự động hóa",Nhân viên chính thức,25 Tr - 30 Tr VND,Trên 3 Năm,Quản lý,15/12/2024,CÔNG TY CỔ PHẦN Ô TÔ KCV THĂNG LONG,"Km 6, đường Bắc Thăng Long- Nội Bài, Xã Nam Hồng, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",HR,Cổ phần,100-499
ISUZU Thăng Long - Nhân viên thiết kế (Thùng xe ô tô),['Hà Nội'],09/12/2024,"Cơ khí / Ô tô / Tự động hóa , Mỹ thuật / Nghệ thuật / Thiết kế",Nhân viên chính thức,12 Tr - 18 Tr VND,Trên 3 Năm,Nhân viên,15/12/2024,CÔNG TY CỔ PHẦN Ô TÔ KCV THĂNG LONG,"Km 6, đường Bắc Thăng Long- Nội Bài, Xã Nam Hồng, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",HR,Cổ phần,100-499
[A9] (Hà Nội - Ca Đêm) Tuyển Nhân Viên Chăm Sóc Khách Hàng Mạng Viễn Thông Mỹ (Giao Tiếp Tiếng Anh),['Hà Nội'],09/12/2024,"Bán hàng / Kinh doanh , Nội ngoại thất , Thống kê",Nhân viên chính thức,12 Tr - 14 Tr VND,,Nhân viên,04/12/2024,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,100% vốn nước ngoài,1.000-4.999
Kế Toán Xưởng - ISUZU Thăng Long,['Hà Nội'],09/12/2024,"Kế toán / Kiểm toán , Cơ khí / Ô tô / Tự động hóa",Nhân viên chính thức,8 Tr - 10 Tr VND,Trên 3 Năm,Nhân viên,15/12/2024,CÔNG TY CỔ PHẦN Ô TÔ KCV THĂNG LONG,"Km 6, đường Bắc Thăng Long- Nội Bài, Xã Nam Hồng, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",HR,Cổ phần,100-499
QUẢN ĐỐC-QUẢN LÝ XƯỞNG (SẢN XUẤT THÙNG XE Ô TÔ),['Hà Nội'],09/12/2024,"Quản lý điều hành , Cơ khí / Ô tô / Tự động hóa , Bảo trì / Sửa chữa",Nhân viên chính thức,18 Tr - 23 Tr VND,Trên 2 Năm,Quản lý,15/12/2024,CÔNG TY CỔ PHẦN Ô TÔ KCV THĂNG LONG,"Km 6, đường Bắc Thăng Long- Nội Bài, Xã Nam Hồng, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",HR,Cổ phần,100-499
Nhân Viên Kiểm Soát Chất Lượng Vận Hành - Kho hàng,['Bình Dương'],09/12/2024,"Vận chuyển / Giao nhận / Kho vận , Xuất nhập khẩu",Nhân viên chính thức,9 Tr - 11 Tr VND,1 - 3 Năm,Nhân viên,08/12/2024,NHẤT TÍN LOGISTICS,"18A Cộng Hòa, Phường 12, Quận Tân Bình",Mr. Phạm Văn Hương,Cổ phần,1.000-4.999
Nữ_Chuyên Viên Partnerships (Các Chương Trình Tài Trợ Thể Thao),['Hà Nội'],09/12/2024,"Tiếp thị / Marketing , Hành chính / Thư ký",Nhân viên chính thức,13 Tr - 18 Tr VND,1 - 3 Năm,Nhân viên,25/12/2024,THỜI TRANG LINING_CÔNG TY TNHH QUỐC TẾ HẢI LONG,"Tầng 2, Tòa Handiresco, số 31 Lê Văn Lương, P.Nhân Chính, Q.Thanh Xuân, Thành phố Hà Nội, Việt Nam",Bộ phận Tuyển dụng,Cổ phần,1.000-4.999
QUẢN ĐỐC XƯỞNG SỬA CHỮA Ô TÔ (ISUZU Thăng Long),['Hà Nội'],09/12/2024,"Quản lý điều hành , Cơ khí / Ô tô / Tự động hóa , Bảo trì / Sửa chữa",Nhân viên chính thức,18 Tr - 23 Tr VND,Trên 2 Năm,Quản lý,15/12/2024,CÔNG TY CỔ PHẦN Ô TÔ KCV THĂNG LONG,"Km 6, đường Bắc Thăng Long- Nội Bài, Xã Nam Hồng, Huyện Đông Anh, Thành phố Hà Nội, Việt Nam",HR,Cổ phần,100-499
