Tên công việc,Địa điểm,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp
Trưởng nhóm Bán hàng (khóa học Homestay Tiếng Anh nội trú),"['Hà Nội', 'Hồ Chí Minh']",CÔNG TY TNHH MTV EHOME,"Số 4 ngõ 176 Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Ms Hà,25-99,Trách nhiệm hữu hạn,05/12/2024,"Bán hàng / Kinh doanh , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Trưởng nhóm / Giám sát,05/01/2025
Chuyên Viên Tư Vấn Giáo Dục (Ocean Edu Nguyễn Xí),['Hồ Chí Minh'],CÔNG TY CP GIÁO DỤC ĐẠI DƯƠNG,"204 Nguyễn Lương Bằng, Đống Đa, Hà Nội",Phòng Nhân sự,,Cổ phần,05/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Tư vấn",Nhân viên chính thức,14 Tr - 15 Tr VND,Lên đến 1 Năm,Nhân viên,31/12/2024
Nhân Viên Triển Khai Giải Pháp Solar ( IOT ),['Hồ Chí Minh'],DHG,"Tầng 9 tòa tháp thiên niên kỷ (Hatay Millenium ) - Số 4 Quang Trung, Hà Đông",HR Duy Hưng,25-99,Cá nhân,05/12/2024,CNTT - Phần cứng / Mạng,Nhân viên chính thức,8 Tr - 10 Tr VND,1 - 2 Năm,Nhân viên,15/12/2024
Nhân viên Bán hàng (Quận 8),['Hồ Chí Minh'],CÔNG TY TNHH JOYCO RETAIL OPERATIONS,"Tầng 03 tòa nhà PLS, số 279 Hoàng Sa, Phường Tân Định, Quận 1, TP.HCM",Cát Tường,25-99,Trách nhiệm hữu hạn,05/12/2024,"Bán lẻ / Bán sỉ , Thực phẩm & Đồ uống",Nhân viên chính thức,6 Tr - 8 Tr VND,,Nhân viên,18/12/2024
Nhân viên Bán hàng (Bình Dương),['Hồ Chí Minh'],CÔNG TY TNHH JOYCO RETAIL OPERATIONS,"Tầng 03 tòa nhà PLS, số 279 Hoàng Sa, Phường Tân Định, Quận 1, TP.HCM",Cát Tường,25-99,Trách nhiệm hữu hạn,05/12/2024,"Bán lẻ / Bán sỉ , Thực phẩm & Đồ uống",Nhân viên chính thức,6 Tr - 8 Tr VND,,Nhân viên,03/01/2025
[G5] [BSV] Nhân Viên Hỗ Trợ Khách Hàng Viettel Line 198 - Không Yêu Cầu Kinh Nghiệm (Xoay Ca),['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,05/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,05/01/2025
Freight Control Executive,['Hồ Chí Minh'],CÔNG TY TNHH MSC VIỆT NAM,Ho Chi Minh City,Châu Trần Thanh Thảo,100-499,Trách nhiệm hữu hạn,05/12/2024,"Vận chuyển / Giao nhận / Kho vận , Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,05/01/2025
[G2] Tư Vấn Viên Cước Wifi mạng Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"CNTT - Phần cứng / Mạng , Hàng gia dụng / Chăm sóc cá nhân , Trắc địa / Địa Chất",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,14/12/2024
[G5] [BSV] Nhân Viên Hỗ Trợ Khách Hàng Viettel Line 198 - Không Yêu Cầu Kinh Nghiệm (Xoay Ca),['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,05/01/2025
Kỹ sư giải pháp làm việc tại Hồ Chí Minh,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN CÔNG NGHIỆP WELDCOM,"Số 285A Ngô Gia Tự, Long Biên, Hà Nội",BP Tuyển dụng,500-999,Cổ phần,04/12/2024,"Cơ khí / Ô tô / Tự động hóa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,10 Tr - 15 Tr VND,2 - 3 Năm,Nhân viên,02/01/2025
[G6] _ [BSV] _[Tân Bình]_Nhân viên chăm sóc khách hàng Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,31/12/2024
[G6] _ [BSV] _[Tân Bình]_Nhân viên chăm sóc khách hàng Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,31/12/2024
,[],,,,,,,,,,,,
Nhân Viên Kinh Doanh Thiết Bị Xử Lý Nước Thải,['Hồ Chí Minh'],CÔNG TY TNHH SẢN XUẤT CÔNG NGHIỆP TIẾN HƯNG,"62D/11 Cư Xá Nguyên Hồng, Đường Nguyên Hồng, Phường 11, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",HR,10-20,Trách nhiệm hữu hạn,04/12/2024,"Bán hàng / Kinh doanh , Bán lẻ / Bán sỉ , Môi trường",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,04/01/2025
[H3] NHÂN VIÊN TƯ VẤN GÓI SỨC KHỎE PVI - THU NHẬP 15 TRIỆU,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"Bảo hiểm , Bất động sản , Tư vấn",Nhân viên chính thức,6 Tr - 18 Tr VND,Chưa có kinh nghiệm,Nhân viên,31/12/2024
EXPORT SALES (F&B),['Hồ Chí Minh'],CÔNG TY TNHH COBI ONE,Quận 7,Ms.Hằng,100-499,,04/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,25 Tr - 35 Tr VND,3 - 5 Năm,Nhân viên,31/12/2024
[H3] TƯ VẤN QUA ĐIỆN THOẠI DỊCH VỤ THẺ/VAY CỦA ĐỐI TÁC NGÂN HÀNG - UOB (KHÔNG YÊU CẦU KINH NGHIỆM),['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"Bảo hiểm , Ngân hàng , Tư vấn",Nhân viên chính thức,5 Tr - 12 Tr VND,,Nhân viên,31/12/2024
Sales Teamleader,['Hồ Chí Minh'],CTY TNHH KIÊN THÀNH TÍN,"66 An Dương Vương, An Lạc A, Bình Tân, HCM",Trần Thuý Ngọc,25-99,Trách nhiệm hữu hạn,04/12/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,17 Tr - 25 Tr VND,3 - 10 Năm,Trưởng nhóm / Giám sát,31/12/2024
"[G7] _ [BSV] _ Nhân viên văn phòng Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,20/12/2024
Công nhân may,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN DỆT GIA DỤNG PHONG PHÚ,"Số 48 Tăng Nhơn Phú, Phường Tăng Nhơn Phú B, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",Trần Thị Mộng Trinh,1.000-4.999,Cổ phần,04/12/2024,Dệt may / Da giày / Thời trang,Nhân viên chính thức,8 Tr - 10 Tr VND,,Nhân viên,31/12/2024
Nhân Viên Tư Vấn Tuyển Sinh,['Hồ Chí Minh'],CÔNG TY TNHH VSTARSCHOOL,"650/15Q Nguyễn Hữu Thọ, KDC Him Lam, Khu phố 5, Phường Tân Hưng, Quận 7, TPHCM.",Mrs.Trang,500-999,Trách nhiệm hữu hạn,04/12/2024,"Tư vấn , Giáo dục / Đào tạo",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,04/01/2025
Kế toán tổng hợp - Thị trường Campuchia (Urgent),"['Hà Nội', 'Hồ Chí Minh']",CÔNG TY TNHH VIETTEL - CHT,"Tầng 16, Hapulico Center Building, Số 1 Nguyễn Huy Tưởng, Q.Thanh Xuân",Mrs Thảo,100-499,Trách nhiệm hữu hạn,04/12/2024,Kế toán / Kiểm toán,Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,31/12/2024
"[HOTPOT STORY - Thiso Mall, Quận 2] - Bếp Chính Nhà Hàng",['Hồ Chí Minh'],CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI QUỐC TẾ MẶT TRỜI ĐỎ,"Tầng 25 tòa nhà Handico, Số 3 Mễ Trì Hạ, Nam Từ Liêm, Hà Nội",Phòng nhân sự,,Cổ phần,04/12/2024,"Dịch vụ khách hàng , Nhà hàng / Khách sạn",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,31/12/2024
Chuyên viên/CVC/CVCC Khách hàng doanh nghiệp - Hồ Chí Minh (Quận 3),['Hồ Chí Minh'],NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN ĐÔNG NAM Á (SEABANK),"BRG Tower, 198 Trần Quang Khải, Hoàn Kiếm, Hà Nội",SeABank Careers,5.000-9.999,Cổ phần,04/12/2024,"Bán hàng / Kinh doanh , Ngân hàng",Nhân viên chính thức,Cạnh tranh,1 - 10 Năm,Nhân viên,31/12/2024
Chuyên viên tư vấn giải CNTT - Presale Network - Thị trường Cambodia,"['Hà Nội', 'Hồ Chí Minh']",CÔNG TY TNHH VIETTEL - CHT,"Tầng 16, Hapulico Center Building, Số 1 Nguyễn Huy Tưởng, Q.Thanh Xuân",Mrs Thảo,100-499,Trách nhiệm hữu hạn,04/12/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,05/01/2025
"Chuyên viên/CVC/CVCC Khách hàng cá nhân - Hồ Chí Minh ( Quận 3, Quận 1, Quận 5, Thủ Đức )",['Hồ Chí Minh'],NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN ĐÔNG NAM Á (SEABANK),"BRG Tower, 198 Trần Quang Khải, Hoàn Kiếm, Hà Nội",SeABank Careers,5.000-9.999,Cổ phần,04/12/2024,"Bán hàng / Kinh doanh , Ngân hàng",Nhân viên chính thức,Cạnh tranh,1 - 10 Năm,Nhân viên,31/12/2024
Chuyên viên tư vấn giải CNTT - Presale Sercurity- Thị trường Cambodia,"['Hà Nội', 'Hồ Chí Minh']",CÔNG TY TNHH VIETTEL - CHT,"Tầng 16, Hapulico Center Building, Số 1 Nguyễn Huy Tưởng, Q.Thanh Xuân",Mrs Thảo,100-499,Trách nhiệm hữu hạn,04/12/2024,"CNTT - Phần mềm , CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,Trên 2 Năm,Nhân viên,05/01/2025
[Củ Chi - Hồ Chí Minh] Chăm Sóc Khách Hàng,['Hồ Chí Minh'],CÔNG TY CP LIÊN KẾT QUỐC TẾ INTERLINK (TRƯỜNG LIÊN KẾT QUỐC TẾ INSCHOOL & NGOẠI NGỮ QUỐC TẾ INS ENGLISH & CHINESE),"27, đường CMT8, Phường Xuân An, Thị Xã Long Khánh",Nhân sự,500-999,Cổ phần,04/12/2024,"Tư vấn , Dịch vụ khách hàng , Giáo dục / Đào tạo",Nhân viên chính thức,6 Tr - 8 Tr VND,Trên 1 Năm,Nhân viên,04/01/2025
Nhân Viên Thu Hồi Nợ Tại Hiện Trường (HCM),['Hồ Chí Minh'],NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,10.000-19.999,Cổ phần,04/12/2024,"Bán hàng / Kinh doanh , Luật / Pháp lý , Bảo hiểm",Nhân viên chính thức,15 Tr - 40 Tr VND,,Nhân viên,31/12/2024
Quản Lý Cửa Hàng Quận 1 - Calvin Klein,['Hồ Chí Minh'],CÔNG TY TNHH THỜI TRANG VÀ MỸ PHẨM ÂU CHÂU,"Tòa nhà Sonatus 15, Lê Thánh Tôn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",Talent Acquisition Team,1.000-4.999,Trách nhiệm hữu hạn,10/12/2024,"Bán hàng / Kinh doanh , Quản lý điều hành , Dệt may / Da giày / Thời trang",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Quản lý,31/12/2024
Senior Brand Acquisition,['Hồ Chí Minh'],VIETNAM GOBUY E-COMMERCE - CÔNG TY TNHH THƯƠNG MẠI ĐIỆN TỬ GOBUY VIỆT NAM,"497 Nguyễn Kiệm, Phường 9, Quận Phú Nhuận, Thành phố Hồ Chí Minh",GOBUY HR DEPARTMENT,25-99,Trách nhiệm hữu hạn,10/12/2024,Tiếp thị / Marketing,Nhân viên chính thức,16 Tr - 18 Tr VND,2 - 5 Năm,Nhân viên,30/01/2025
[G2] Tư Vấn Viên Cước Wifi mạng Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,10/12/2024,"CNTT - Phần cứng / Mạng , Ngành khác , Lâm Nghiệp",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,14/12/2024
"[G7] _ [BSV] _ Nhân viên văn phòng Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,10/12/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,20/12/2024
SALES ENGINEER [WORK AT CỦ CHI],['Hồ Chí Minh'],CÔNG TY CP SAIGON AUTO SUPPORTING INDUSTRY,"Lô D9, D10 Đường Số 10, Khu Công Nghiệp Cơ Khí Ô Tô Thành phố Hồ Chí Minh, Xã Tân Thạnh Đông, Huyện Củ Chi, Hồ Chí Minh",Mr. Đại,100-499,Cổ phần,10/12/2024,"Bán hàng / Kinh doanh , Cơ khí / Ô tô / Tự động hóa , Tiếp thị / Marketing",Nhân viên chính thức,Cạnh tranh,,Nhân viên,02/01/2025
[G2] Tư Vấn Viên Cước Wifi mạng Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,10/12/2024,"Bán lẻ / Bán sỉ , Biên phiên dịch , Thực phẩm & Đồ uống",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,14/12/2024
[G6] _ [BSV] _[Tân Bình]_Nhân viên chăm sóc khách hàng Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,10/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,31/12/2024
[G6] _ [BSV] _[Tân Bình]_Nhân viên chăm sóc khách hàng Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,10/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,31/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,10/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,31/12/2024
"Tuyển Trình dược viên y tế - HCM, Đồng Nai","['Hồ Chí Minh', 'Đồng Nai']",CÔNG TY TNHH TM & XNK NHẤT LÂM,"Lô H18 + H19, Ngõ 68, Trung Kính, Yên Hòa",Phòng Hành chính Nhân sự,,Trách nhiệm hữu hạn,10/12/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Công nghệ thực phẩm / Dinh dưỡng",Nhân viên chính thức,12 Tr - 20 Tr VND,Trên 2 Năm,Nhân viên,25/01/2025
Kế Toán Nội Bộ Tiếng Trung,['Hồ Chí Minh'],CÔNG TY TNHH DỊCH VỤ QUẢNG CÁO PHOENIX NETWORK,"I-1.TM.06-1, Khu thương mại HaDo Centrosa, Tháp Iris 3, số 200 đường 3/2, Phường 12, Quận 10, TP Hồ Chí Minh",ms Chau,,Trách nhiệm hữu hạn,10/12/2024,"Kế toán / Kiểm toán , Biên phiên dịch",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Nhân viên,03/01/2025
Nhân viên vận hành Môi trường,"['Hồ Chí Minh', 'Tây Ninh', 'Bà Rịa - Vũng Tàu']",CÔNG TY CP TẬP ĐOÀN TÂN LONG,"Trụ sở chính tầng 14, tòa nhà Diamond Flower, số 48 Lê Văn Lương, Thanh Xuân, Hà Nội",Bộ Phận Tuyển Dụng,Hơn 2500,Cổ phần,10/12/2024,Môi trường,Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 5 Năm,Nhân viên,31/12/2024
TRÌNH DƯỢC VIÊN,['Hồ Chí Minh'],CÔNG TY TNHH DƯỢC PHẨM SWISS VITA,"68 Hiền Vương, Phường Phú Thạnh, Quận Tân Phú, Thành Phố Hồ Chí Minh",HR,,Trách nhiệm hữu hạn,10/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Dược phẩm",Nhân viên chính thức,8 Tr - 15 Tr VND,1 - 3 Năm,Nhân viên,30/01/2025
KINH DOANH DỰ ÁN ( MẢNG TÔN THÉP),['Hồ Chí Minh'],CÔNG TY TNHH SX-TM THÉP TÂY NAM,Cụm Công nghiệp Thiên Lộc Thành Ấp 4 Long Sơn Cần Đước Long An,Đặng Thị Diệu Ái,500-999,Trách nhiệm hữu hạn,11/12/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,13 Tr - 30 Tr VND,2 - 5 Năm,Nhân viên,03/01/2025
[G2] Tư Vấn Viên dịch vụ Wifi mạng Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"Dịch vụ khách hàng , Kế toán / Kiểm toán , Môi trường",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,14/12/2024
[G2] Tư Vấn Viên Gói Wifi -Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"Cơ khí / Ô tô / Tự động hóa , Công nghệ thực phẩm / Dinh dưỡng , Chứng khoán",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,14/12/2024
[G6] _ [BSV] _ Quận 3_ Nhân Viên Tư Vấn Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,04/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,31/12/2024
Sales Engineer,['Hồ Chí Minh'],CÔNG TY TNHH MUN HEAN VIỆT NAM,"68 Nguyễn Quý Đức, Khu Phố 5, P. An Phú, TP. Thủ Đức, TP.HCM",Mr. Long,,Trách nhiệm hữu hạn,09/12/2024,"Bán hàng / Kinh doanh , Điện / Điện tử / Điện lạnh , Bán lẻ / Bán sỉ",Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,31/12/2024
Sales Logistics,['Hồ Chí Minh'],HR VIETNAM’S ESS CLIENT,"Pasteur Tower, 139 Pasteur street, Dist. 3",Admin,,100% vốn nước ngoài,09/12/2024,Vận chuyển / Giao nhận / Kho vận,Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,23/12/2024
"[G7] _ [BSV] _ Nhân viên văn phòng Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,09/12/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,20/12/2024
"[G7] _ [BSV] _ Nhân viên văn phòng Nhà mạng Viettel_Tân Bình, Quận 3_Giờ hành chính",['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,09/12/2024,"Bán hàng / Kinh doanh , Ngành khác , Tư vấn",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,20/12/2024
[G6] _ [BSV] _[Tân Bình]_Nhân viên chăm sóc khách hàng Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,09/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,31/12/2024
[G6] _ [BSV] _[Tân Bình]_Nhân viên chăm sóc khách hàng Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,09/12/2024,"Bán hàng / Kinh doanh , Bưu chính viễn thông , Dịch vụ khách hàng",Nhân viên chính thức,6 Tr - 10 Tr VND,,Nhân viên,31/12/2024
[G6] _ [BSV] _ Nhân Viên Văn Phòng_ Tổng đài Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,09/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,31/12/2024
[G6] _ [BSV] _ Quận 3_ Nhân Viên Tư Vấn Viettel,['Hồ Chí Minh'],BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài,09/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Hành chính / Thư ký",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,31/12/2024
CVC/CVCC Bán sản phẩm cho vay Thế chấp - TPHCM - TA110,['Hồ Chí Minh'],NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,10.000-19.999,Cổ phần,09/12/2024,"Bán hàng / Kinh doanh , Bất động sản , Ngân hàng",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Trưởng nhóm / Giám sát,31/12/2024
Host Livestream,['Hồ Chí Minh'],CÔNG TY CỔ PHẦN MIA RETAIL,"117 -119 Bạch Đằng, Phường 15, Quận Bình Thạnh",Tuyển dụng,100-499,Cổ phần,09/12/2024,"Bán lẻ / Bán sỉ , Tiếp thị / Marketing , Tiếp thị trực tuyến",Nhân viên chính thức,9 Tr - 13 Tr VND,Trên 1 Năm,Nhân viên,02/01/2025
TƯ VẤN VIÊN LÀM VIỆC TẠI QUẬN 8,['Hồ Chí Minh'],NHA KHOA VIỆT MỸ,"1298 Huỳnh Tấn Phát, Phú Mỹ, Quận 7, TP. Hồ Chí Minh",PHÒNG NHÂN SỰ,100-499,Trách nhiệm hữu hạn,02/12/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Bán lẻ / Bán sỉ",Nhân viên chính thức,8 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,19/01/2025
"Nhân Viên Sales Thị Trường - Quận Tân Phú, Quận 10, Quận 11, Quận 3",['Hồ Chí Minh'],CÔNG TY CỔ PHẦN CÔNG NGHỆ SEN ĐỎ,"Tầng 2, Tòa nhà FPT Tân Thuận. 29B-31B-33B đường Tân Thuận, KCX Tân Thuận",Tuyển dụng Sen Đỏ,,Cổ phần,09/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,10 Tr - 15 Tr VND,,Nhân viên,16/12/2024
