Tên công việc,Địa điểm,Ngày cập nhật,Ngành nghề,Hình thức,Lương,Kinh nghiệm,Cấp bậc,Hết hạn nộp,Tên công ty,Địa chỉ công ty,Người liên hệ,Qui mô công ty,Loại hình hoạt động
QUẢN LÝ BƯU CỤC (PHẠM VĂN HAI-BÌNH CHÁNH),['Hồ Chí Minh'],14/11/2024,"Vận chuyển / Giao nhận / Kho vận , Quản lý điều hành , Xuất nhập khẩu",Nhân viên chính thức,"7,6 Tr - 15 Tr VND",1 - 3 Năm,Quản lý,13/12/2024,CÔNG TY TNHH BEST LOGISTICS TECHNOLOGY (VIỆT NAM),"Tòa nhà UOA , 06 Tân Trào, Tân Phú, Quận 7, Thành phố Hồ Chí Minh",BP Tuyển dụng,4000,Công ty đa quốc gia
Deputy Chief Engineer (Shopping Mall - District 7),['Hồ Chí Minh'],14/11/2024,"Nhà hàng / Khách sạn , Bảo trì / Sửa chữa , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Trưởng nhóm / Giám sát,13/12/2024,SAVILLS VIETNAM,"Doji Tower, 81 - 85 Ham Nghi Street, District 1, HCMC, Vietnam",Ms. Tu Nuy,1.000-4.999,Công ty đa quốc gia
Business Development Executive,['Hồ Chí Minh'],14/11/2024,"Bán hàng / Kinh doanh , Kiến trúc , Nội ngoại thất",Nhân viên chính thức,12 Tr - 15 Tr VND,,Nhân viên,13/12/2024,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ THƯƠNG MẠI GREEN WORLD,"Tầng 4, cao ốc H3, 384 Hoàng diệu, phường 06, quận 04",Ms. Nguyễn Phương Uyên,,Cổ phần
Electrical QC ( Shipbuilding company),['Hồ Chí Minh'],11/11/2024,Điện / Điện tử / Điện lạnh,Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,10/12/2024,CÔNG TY TNHH MTV PIRIOU VIỆT NAM,"1042 Hùynh Tấn Phát, Phú Xuân Nhà Bè",Ms. Nhàn,100-499,Trách nhiệm hữu hạn
MICE Project Manager,['Hồ Chí Minh'],11/11/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Du lịch",Nhân viên chính thức,Cạnh tranh,3 - 10 Năm,Quản lý,10/12/2024,ASIAN TRAILS - CÔNG TY TNHH DU LỊCH ĐƯỜNG MÒN CHÂU Á,"Saigon Pearl, Villa 28, Đường D1, 92 Nguyễn Hữu Cảnh, Quận Bình Thạnh, TP.HCM",Phạm Thị Kim Khanh,25-99,Trách nhiệm hữu hạn
[Quận 1] Giao Dịch Viên Tài Chính Tại Cửa Hàng PNJ,['Hồ Chí Minh'],10/11/2024,"Bán hàng / Kinh doanh , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,9 Tr - 20 Tr VND,Lên đến 1 Năm,Nhân viên,09/12/2024,CÔNG TY CỔ PHẦN NGƯỜI BẠN VÀNG,"Tầng 1, Vincom Plaza Cộng Hoà, 15-17 Cộng Hòa, Phường 4, Quận Tân Bình.",Phòng Nhân sự,100-499,Cổ phần
SENIOR ACCOUNT EXECUTIVE,['Hồ Chí Minh'],10/11/2024,Quảng cáo / Đối ngoại / Truyền Thông,Nhân viên chính thức,Trên 11 Tr VND,2 - 3 Năm,Nhân viên,09/12/2024,CÔNG TY TNHH QUẢNG CÁO VÀ DỊCH VỤ N&D,"95 Pasteur, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",Cao Thi Hong Nhung,25-99,Trách nhiệm hữu hạn
Quản Lý Cửa Hàng Thời Trang GAP,['Hồ Chí Minh'],09/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Quản lý điều hành",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Trưởng nhóm / Giám sát,08/12/2024,CÔNG TY TNHH THỜI TRANG VÀ MỸ PHẨM ÂU CHÂU,"Tòa nhà Sonatus 15, Lê Thánh Tôn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",Talent Acquisition Team,1.000-4.999,Trách nhiệm hữu hạn
CHUYÊN VIÊN QUAY DỰNG VIDEO,"['Bình Dương', 'Hồ Chí Minh', 'Đồng Nai']",09/11/2024,"Tiếp thị / Marketing , Mỹ thuật / Nghệ thuật / Thiết kế , Truyền hình / Báo chí / Biên tập",Nhân viên chính thức,13 Tr - 16 Tr VND,Trên 2 Năm,Nhân viên,08/12/2024,CÔNG TY TRÁCH NHIỆM HỮU HẠN SẢN XUẤT THƯƠNG MẠI XÂY DỰNG CƠ KHÍ VIỆT MINH LONG,"68/69/9/16 Đường TA32, Khu Phố 5, Phường Thới An, Quận 12, Thành phố Hồ Chí Minh, Việt Nam",HR team,100-499,Trách nhiệm hữu hạn
Customer Service Lead (GT Channel),['Hồ Chí Minh'],09/11/2024,"Dịch vụ khách hàng , Vận chuyển / Giao nhận / Kho vận , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,5 - 10 Năm,Quản lý,08/12/2024,,,,,
Trưởng nhóm kinh doanh,['Hồ Chí Minh'],10/11/2024,"Bán hàng / Kinh doanh , Dược phẩm",Nhân viên chính thức,Trên 15 Tr VND,3 - 5 Năm,Trưởng nhóm / Giám sát,09/12/2024,NHÀ MÁY SẢN XUẤT DƯỢC PHẨM GMP EU LONG HẬU,"Lô 3D-4, đường số 10, Khu công nghiệp Long Hậu 3 (giai đoạn 1), Xã Long Hậu, Huyện Cần Giuộc, Tỉnh Long An, Việt Nam",PHÒNG HÀNH CHÍNH NHÂN SỰ,100-499,Cổ phần
Sales Marketing Manager (Experience in the LED lighting industry),['Hồ Chí Minh'],10/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Quản lý điều hành",Nhân viên chính thức,Trên 20 Tr VND,Trên 3 Năm,Quản lý,09/12/2024,CÔNG TY TNHH OPPLE LIGHTING VIỆT NAM,"4th Floor, 195 Road 9A, Trung Son Residential Area Hamlet 4B - Binh Hung Commune - Binh Chanh District - Ho Chi Minh City",HR Department,5.000-9.999,100% vốn nước ngoài
Nhân Viên Bán Hàng Thời Trang Lotte Mart,['Hồ Chí Minh'],08/11/2024,"Bán hàng / Kinh doanh , Dệt may / Da giày / Thời trang , Bán lẻ / Bán sỉ",Nhân viên chính thức,7 Tr - 10 Tr VND,,Nhân viên,07/12/2024,CÔNG TY CP THỜI TRANG LAMER FASHION,"Số 3 , Ngõ 71 Hoàng Văn Thái, Thanh Xuân, Hà Nội",Ms Oanh,100-499,
Nhân Viên Telesale - Chi nhánh Thủ Đức - Thu Nhập Từ 10 - 30 Triệu,['Hồ Chí Minh'],07/11/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,06/12/2024,CÔNG TY TNHH ĐẦU TƯ SB GROUP,"Số 8 - 10 Hưng Gia 5, Phường Tân Phong, Quận 7",NHÂN SỰ SB GROUP,100-499,Trách nhiệm hữu hạn
INFLUENCER MANAGEMENT ASSOCIATE,['Hồ Chí Minh'],07/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,06/12/2024,PATI GROUP,"152 Điện Biên Phủ, phường 25, quận Bình Thạnh",Thomas,10-20,Trách nhiệm hữu hạn
Trưởng bộ phận kinh doanh dược liệu Hồ Chí Minh,['Hồ Chí Minh'],04/12/2024,"Y tế / Chăm sóc sức khỏe , Dược phẩm",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Trưởng nhóm / Giám sát,02/01/2025,CÔNG TY CỔ PHẦN ANVY,"Xã Tân Tiến, huyện Văn Giang, tỉnh Hưng Yên",Ms Hoài,100-499,Cổ phần
CHUYÊN VIÊN THỊ TRƯỜNG NỘI ĐỊA LĨNH VỰC NÔNG NGHIỆP,['Hồ Chí Minh'],03/12/2024,"Nông nghiệp , Công nghệ sinh học , Ngành khác",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,01/01/2025,CÔNG TY CỔ PHẦN ĐẦU TƯ TẬP ĐOÀN KLC,"105 - 107 đường Nguyễn Công Trứ, phường Nguyễn Thái Bình, quận 1, Tp Hồ Chí Minh",Phòng Nhân Sự,,Cổ phần
BẾP ÂU ( Làm việc tại HCM),['Hồ Chí Minh'],04/12/2024,"Bán hàng / Kinh doanh , Thực phẩm & Đồ uống , Nhà hàng / Khách sạn",Nhân viên chính thức,10 Tr - 11 Tr VND,2 - 3 Năm,Nhân viên,02/01/2025,CÔNG TY CỔ PHẦN ĐẦU TƯ F&B QUỲNH CHI,"Văn phòng tại Tầng 2-3, 99 Lê Văn Việt, Tăng Nhơn Phú A, Thủ Đức, Thành phố Hồ Chí Minh",HR TEAM,100-499,Cổ phần
[H2] CHUYÊN VIÊN ĐÀO TẠO,['Hồ Chí Minh'],01/12/2024,"Bán hàng / Kinh doanh , Dịch vụ khách hàng , Giáo dục / Đào tạo",Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,30/12/2024,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài
[HCM] - Nhân viên Kinh doanh (kênh B2B),['Hồ Chí Minh'],01/12/2024,"Bán hàng / Kinh doanh , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,30/12/2024,CT CP TẬP ĐOÀN THÁI TUẤN,"1/148 Nguyễn Văn Quá, P.ĐHT, Q12",Tuyển Dụng Thái Tuấn,1.000-4.999,Cổ phần
Nhân Viên Mua Hàng Thương Mại Dịch Vụ,['Hồ Chí Minh'],01/12/2024,"Hàng gia dụng / Chăm sóc cá nhân , Kiến trúc , Nội ngoại thất",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,30/12/2024,TẬP ĐOÀN KIM TÍN,"69 Nguyễn Thi, Phường 13, Quận 5, HCM",KIM TIN GROUP,1.000-4.999,Cổ phần
[SSV] Special Education Needs Teacher,['Hồ Chí Minh'],01/12/2024,Giáo dục / Đào tạo,Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,30/12/2024,EQUEST EDUCATION GROUP (EQG),"Canadian International School, Number 7, Road 23, Phu My Hung, Tan Phu Ward, District 7, HCMC",People & Culture Division - Talent Acquisition Department,5.000-9.999,Cổ phần
TRƯỞNG BỘ MÔN LOGISTICS VÀ QUẢN LÝ CHUỖI CUNG ỨNG,['Hồ Chí Minh'],02/12/2024,"Vận chuyển / Giao nhận / Kho vận , Giáo dục / Đào tạo , Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Trưởng nhóm / Giám sát,31/12/2024,ĐẠI HỌC QUẢN LÝ VÀ CÔNG NGHỆ THÀNH PHỐ HỒ CHÍ MINH,"Đường 60CL, Khu đô thị Cát Lái, Phường Cát Lái, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",TUYỂN DỤNG UMT,500-999,Cổ phần
Chuyên viên cao cấp Sản Phẩm Vay Tiêu Dùng/Senior Acquisition Cash Loan Product Executive,['Hồ Chí Minh'],02/12/2024,"Ngân hàng , Tài chính / Đầu tư , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,2 - 4 Năm,Nhân viên,31/12/2024,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI (SHBFINANCE),"Tòa nhà Gelex, 52 Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",Khối Quản trị Nguồn nhân lực,5.000-9.999,Trách nhiệm hữu hạn
Nhân Viên Kinh Doanh Bán Lẻ,['Hồ Chí Minh'],02/12/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Nội ngoại thất",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,31/12/2024,CÔNG TY TNHH THƯƠNG MẠI GIẢI PHÁP ƯU VIỆT,"A25-26 KDC Kim Sơn, Đường Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, TP.HCM",Bộ phận Tuyển dụng Công ty Ưu Việt Solutions,,Trách nhiệm hữu hạn
Education Consultant,['Hồ Chí Minh'],01/12/2024,"Bán hàng / Kinh doanh , Giáo dục / Đào tạo",Nhân viên chính thức,8 Tr - 13 Tr VND,2 - 3 Năm,Nhân viên,30/12/2024,CÔNG TY TNHH UNITED STATES NATIONAL COUNCIL,"50 Trương Định, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",Ms.Bella Le,25-99,Trách nhiệm hữu hạn
STREAMER - DỰ ÁN TIKTOK,['Hồ Chí Minh'],01/12/2024,"Giải trí , Truyền hình / Báo chí / Biên tập , Tổ chức sự kiện",Nhân viên chính thức,Cạnh tranh,Lên đến 1 Năm,Nhân viên,30/12/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ TẬP ĐOÀN KLC,"105 - 107 đường Nguyễn Công Trứ, phường Nguyễn Thái Bình, quận 1, Tp Hồ Chí Minh",Phòng Nhân Sự,,Cổ phần
Senior AI Vision Engineer,['Hồ Chí Minh'],27/11/2024,CNTT - Phần mềm,Nhân viên chính thức,"1,000 - 3,000 USD",6 - 10 Năm,Nhân viên,26/12/2024,CÔNG TY TNHH CARTRACK VIETNAM,"Tầng 6, TF Building, 408 Điện Biên Phủ, Phường 11, Quận 10, TP Hồ Chí Minh, TP Hồ Chí Minh",Mr. Vinh,1.000-4.999,100% vốn nước ngoài
Executive - Accountant (Temporary - 9 months contract),['Hồ Chí Minh'],27/11/2024,Kế toán / Kiểm toán,Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,26/12/2024,BW INDUSTRIAL DEVELOPMENT JSC,BW company -becamex tower,HR Dept,100-499,Cổ phần
Chuyên viên phát triển thị trường,['Hồ Chí Minh'],26/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Thực phẩm & Đồ uống",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,25/12/2024,CÔNG TY TNHH HAMOON,"SV04, Villas Hà Đô 766 Sư Vạn Hạnh, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Việt Nam",HRD,25-99,Trách nhiệm hữu hạn
[G2] Nhân viên Tư Vấn Internet mạng Viettel,['Hồ Chí Minh'],27/11/2024,"Luật / Pháp lý , Lao động phổ thông , Môi trường",Nhân viên chính thức,8 Tr - 15 Tr VND,,Nhân viên,26/12/2024,BELLSYSTEM24-VIỆT NAM,"Số 3 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Bộ Phận Tuyển Dụng Nhân Sự,1.000-4.999,100% vốn nước ngoài
Business Development Manager,"['Hà Nội', 'Hồ Chí Minh']",27/11/2024,"Bán hàng / Kinh doanh , Vận chuyển / Giao nhận / Kho vận , Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Trưởng nhóm / Giám sát,26/12/2024,"RHENUS LOGISTICS LTD,.","Tầng 12A, Tòa nhà CII Tower, số 152 Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam.",Ms. Cuc,500-999,100% vốn nước ngoài
Senior Manual Tester (French speaking),['Hồ Chí Minh'],25/11/2024,CNTT - Phần mềm,Nhân viên chính thức,Cạnh tranh,Chưa có kinh nghiệm,Nhân viên,24/12/2024,HR VIETNAM’S ESS CLIENT,"Pasteur Tower, 139 Pasteur street, Dist. 3",Admin,,100% vốn nước ngoài
Platform Policy | meLive,['Hồ Chí Minh'],25/11/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Quảng cáo / Đối ngoại / Truyền Thông , Ngành khác",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,24/12/2024,CÔNG TY CỔ PHẦN METUB VIỆT NAM,"METUB Tower, 40 Nguyễn Văn Hưởng , P. Thảo Điền, Q.2, TPHCM",HR Department,25-99,Cổ phần
Kế toán Thuế (Làm việc tại TPHCM),['Hồ Chí Minh'],23/11/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,Lên đến 12 Tr VND,Lên đến 1 Năm,Nhân viên,22/12/2024,CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT TRƯỜNG THỊNH,"29 Lâm Văn Bền, Phường Tân Thuận Tây, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",HR,25-99,Trách nhiệm hữu hạn
NHÂN VIÊN KINH DOANH THIẾT BỊ Y TẾ,['Hồ Chí Minh'],23/11/2024,"Dược phẩm , Y tế / Chăm sóc sức khỏe",Nhân viên chính thức,8 Tr - 15 Tr VND,1 - 3 Năm,Nhân viên,22/12/2024,CÔNG TY CỔ PHẦN IQ-LIFE,"R1-10-06, Phòng 06, Tầng 10, Tháp R1, Tòa Nhà The EverRich 1, Số 968 Đường Ba Tháng Hai, Phường 15, Quận 11, Thành phố Hồ Chí Minh, Việt Nam",HCNS,,Cổ phần
(Senior) CSR Sales Executive,['Hồ Chí Minh'],23/11/2024,"Công nghệ sinh học , Môi trường , Hóa học",Nhân viên chính thức,Cạnh tranh,3 - 15 Năm,Nhân viên,22/12/2024,TÜV RHEINLAND VIETNAM,"Tầng 5, tòa nhà Anna, khu công viên phần mềm Quang Trung, phường Tân Chánh Hiệp, quận 12, Tp.HCM",HR Dept.,,100% vốn nước ngoài
Chuyên Viên Xử Lý Tín Dụng KHCN - HCM - TA085,['Hồ Chí Minh'],24/11/2024,"Bán hàng / Kinh doanh , Bảo hiểm , Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên 1 Năm,Nhân viên,23/12/2024,NGÂN HÀNG TMCP VIỆT NAM THỊNH VƯỢNG - VPBANK,"89 Láng Hạ, Quận Đống Đa, Hà Nội",Khối Quản trị Nguồn nhân lực,10.000-19.999,Cổ phần
Senior Sales Planning Executive,['Hồ Chí Minh'],23/11/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,4 - 5 Năm,Nhân viên,22/12/2024,YES4ALL TRADING SERVICES COMPANY LIMITED,"Floor 2, L'Mak Tower, 127 Hong Ha, Phu Nhuan District, HCMC",Talent Acquisition Team,100-499,
PRESALES ENGINEER,['Hồ Chí Minh'],19/11/2024,"Điện / Điện tử / Điện lạnh , CNTT - Phần cứng / Mạng , CNTT - Phần mềm",Nhân viên chính thức,13 Tr - 20 Tr VND,2 - 15 Năm,Nhân viên,18/12/2024,CÔNG TY CP THƯƠNG MẠI - DỊCH VỤ SAO NAM AN,"27/4-6 Kinh Dương Vương, Phường 12, Quận 6, TP.HCM",Ms Thu,100-499,100% vốn nước ngoài
Nhân Viên Kinh Doanh Ô Tô Qua Sử Dụng,['Hồ Chí Minh'],20/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Cơ khí / Ô tô / Tự động hóa",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên,19/12/2024,CÔNG TY TNHH CHỢ TỐT,"6 Tân Trào, Phường Tân Phú, Quận 7, TP. HCM",HR Dept,,100% vốn nước ngoài
Quản Lý Phát Triển Kinh Doanh,['Hồ Chí Minh'],18/11/2024,"Bán hàng / Kinh doanh , Quản lý điều hành",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Quản lý,17/12/2024,CÔNG TY CỔ PHẦN PHÁT TRIỂN VÀ DỊCH VỤ NHÀ BẾN THÀNH,"31 Trương Định, phường Bến Thành, Quận 1, TP. Hồ Chí Minh","Mr. Cường, Phòng Hành chính – Quản trị",25-99,Cổ phần
Senior Sales Executive,['Hồ Chí Minh'],18/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên,17/12/2024,CÔNG TY CỔ PHẦN PHIM THIÊN NGÂN (GALAXY STUDIO),"Số 3/9 đường Võ Văn Tần, phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",HR. Dept,,Cổ phần
Sales Engineer,['Hồ Chí Minh'],18/11/2024,"Bán hàng / Kinh doanh , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,17/12/2024,CÔNG TY TNHH ỐNG SI-LI-CON VIỆT NAM,"Đơn vị A, Tầng 2, Tòa nhà xưởng tiêu chuẩn, Lô N.04b-10, đường số 14, Khu Chế Xuất Tân Thuận, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh, Việt Nam.",Ms. Nguyễn Thị Tường Vi,100-499,100% vốn nước ngoài
CHUYÊN VIÊN PHÁT TRIỂN ĐẠI LÝ,['Hồ Chí Minh'],19/11/2024,"Tiếp thị / Marketing , Bán lẻ / Bán sỉ , Bất động sản",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên,18/12/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN BẤT ĐỘNG SẢN THẮNG LỢI,"51 Kinh Dương Vương, Phường 12, Quận 6, TPHCM",Bộ phận Tuyển dụng,100-499,Cổ phần
Global Account Manager,['Hồ Chí Minh'],19/11/2024,"Tiếp thị / Marketing , Tư vấn , Dịch vụ khách hàng",Nhân viên chính thức,25 Tr - 30 Tr VND,4 - 6 Năm,Nhân viên,18/12/2024,,,,,
Real Estate Ambassador (Residential Leasing),['Hồ Chí Minh'],19/11/2024,"Bán hàng / Kinh doanh , Bất động sản , Bảo hiểm",Nhân viên chính thức,Trên 11 Tr VND,1 - 3 Năm,Nhân viên,18/12/2024,CÔNG TY TNHH DRUCE & CO (VIỆT NAM),"Tầng 10, Tòa nhà Miss Áo Dài, 21 Nguyễn Trung Ngạn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",HR,10-20,Trách nhiệm hữu hạn
Nhân Viên Kinh Doanh Nội Thất Tại Quận 8,['Hồ Chí Minh'],17/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Dịch vụ khách hàng",Nhân viên chính thức,7 Tr - 10 Tr VND,,Nhân viên,16/12/2024,,,,,
PHTH - Accounting Vice Manager,['Hồ Chí Minh'],17/11/2024,"Kế toán / Kiểm toán , Ngân hàng , Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,5 - 6 Năm,Trưởng nhóm / Giám sát,16/12/2024,,,,,
Nhân viên kinh doanh,['Hồ Chí Minh'],19/11/2024,"Bán hàng / Kinh doanh , Điện / Điện tử / Điện lạnh , CNTT - Phần cứng / Mạng",Nhân viên chính thức,7 Tr - 30 Tr VND,,Nhân viên,18/12/2024,CÔNG TY CP MASTERY,"Số 29 Nguyễn Bá Tuyển, Phường 12,Quận Tân Bình, TP Hồ Chí Minh",Lê Thị Tâm,Ít hơn 10,Cổ phần
Trưởng phòng Sale,['Hồ Chí Minh'],17/11/2024,"Tiếp thị / Marketing , Bán hàng / Kinh doanh , Dịch vụ khách hàng",Nhân viên chính thức,10 Tr - 20 Tr VND,2 - 5 Năm,Quản lý,16/12/2024,CÔNG TY TNHH KHÔNG GIAN VUI CHƠI,"Phòng 710, Lầu 7, Tòa nhà Saigon Paragon, số 03, Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",Ms. Nguyễn My,100-499,100% vốn nước ngoài
"CHUYÊN VIÊN THIẾT KẾ RẬP (Rập Tay, Máy phần mềm Gerber) -HÀNG THỜI TRANG NỮ",['Hồ Chí Minh'],17/11/2024,"Mỹ thuật / Nghệ thuật / Thiết kế , Dệt may / Da giày / Thời trang",Nhân viên chính thức,16 Tr - 20 Tr VND,3 - 5 Năm,Nhân viên,16/12/2024,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NELLY FASHION,"86M Đường Hà Chương, Khu Phố 1 Phường Trung Mỹ Tây, Quận 12, TP Hồ Chí Minh.",Phòng Nhân sự,100-499,Trách nhiệm hữu hạn
Nhân viên bán hàng trực tiếp tại sự kiện tặng quà THCM,['Hồ Chí Minh'],17/11/2024,"Bán lẻ / Bán sỉ , Bán hàng / Kinh doanh , Tiếp thị trực tuyến",Nhân viên chính thức,10 Tr - 15 Tr VND,,Nhân viên,16/12/2024,CÔNG TY CỔ PHẦN GREEN TRAVEL VIỆT NAM,"Số 27, Đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",HR,,Cổ phần
Nhân viên Tư Vấn giải pháp (Kinh Doanh - Sale B2B),"['Hà Nội', 'Hồ Chí Minh']",14/11/2024,Bán hàng / Kinh doanh,Nhân viên chính thức,10 Tr - 15 Tr VND,1 - 2 Năm,Nhân viên,13/12/2024,CÔNG TY CP HÀ YẾN,"Số 3, Lô CN6, Cụm CN Vừa Và Nhỏ Từ Liêm",Phòng nhân sự,100-499,Cổ phần
Business Operations Coordinator,['Hồ Chí Minh'],16/11/2024,"Tiếp thị / Marketing , Ngành khác",Nhân viên chính thức,Cạnh tranh,Trên 3 Năm,Nhân viên,15/12/2024,YES4ALL TRADING SERVICES COMPANY LIMITED,"Floor 2, L'Mak Tower, 127 Hong Ha, Phu Nhuan District, HCMC",Talent Acquisition Team,100-499,
Trưởng Nhóm Thiết Kế Cơ Khí/ Máy Tự Động Hóa,['Hồ Chí Minh'],16/11/2024,"Quản lý điều hành , Cơ khí / Ô tô / Tự động hóa , Sản xuất / Vận hành sản xuất",Nhân viên chính thức,13 Tr - 18 Tr VND,2 - 3 Năm,Trưởng nhóm / Giám sát,15/12/2024,CÔNG TY CỔ PHẦN TẬP ĐOÀN KỸ THUẬT VÀ CÔNG NGHIỆP VIỆT NAM TẠI HỒ CHÍ MINH,"Lô D6, Đường số 3, KCN Bình Chiểu, Phường Bình Chiểu ,Thành phố Thủ Đức, TP Hồ Chí Minh, Việt Nam.",Ms Ngọc Như,25-99,Cổ phần
Senior Business Solution Executive,['Hồ Chí Minh'],12/11/2024,"Vận chuyển / Giao nhận / Kho vận , Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,2 - 4 Năm,Nhân viên,11/12/2024,INDO TRANS LOGISTICS,"52 Trường Sơn, P. 2, Q. Tân Bình, HCMC",HR Department,,Cổ phần
NHÂN VIÊN THIẾT KẾ - CHIẾU SÁNG,['Hồ Chí Minh'],13/11/2024,"Nội ngoại thất , Kiến trúc , Điện / Điện tử / Điện lạnh",Nhân viên chính thức,10 Tr - 12 Tr VND,1 - 2 Năm,Nhân viên,12/12/2024,CARA LIGHTING - CÔNG TY TNHH GIẢI PHÁP CHIẾU SÁNG CARA,"Lô DVTM-12-13 đường N1, KTM Nam, thuộc KCX Tân Thuận, P.Tân Thuận Đông, Q.7",Ms.Nhi,100-499,Trách nhiệm hữu hạn
